Difference in the list from prior version!
27 changes!


"","_","did","handle","createdAt","indexedAt","displayName","description","followersCount","followsCount","postsCount","avatar","labels","banner","associated.lists","associated.feedgens","associated.starterPacks","associated.labeler","pinnedPost.uri","pinnedPost.cid","associated.chat.allowIncoming"
"18",,"did:plc:mfxv4d3oit4eade4lzwzlysd","jordanbardellaoff.bsky.social","2024-12-10T14:30:37.650Z","2025-01-23T16:35:19.743Z","Jordan Bardella","Président du Rassemblement National , Député européen.\n\nrassemblementnational.fr","201","211","0","1","[]","0","0","0","0","false","1","1","none"
"19",,"did:plc:gkajjnljltu4jjqdmly7oma6","cristinaguarda.bsky.social","2025-01-16T14:14:47.144Z","2025-01-16T14:15:26.844Z","Cristina Guarda","☀️ Agricoltrice, già consigliera regionale e ora Parlamentare Europea @europaverde.verdi\n🇪🇺 PER OGGI. PER DOMANI!","8","1","1","1","[]","0","0","0","0","false","0","0",
"20",,"did:plc:z74qjjj2v5mbsf5rgb2zjk3z","barryandrewsmep.bsky.social","2025-01-17T17:59:18.244Z","2025-01-18T12:14:39.245Z","Barry Andrews MEP","Member of the European Parliament representing Dublin, Ireland 🇮🇪 🇪🇺\nFianna Fáil | Renew Europe | Chair of the Development Committee | Member of the Industry Trade & Energy Committee | Member of Delegations to Palestine & UK","162","169","2","1","[]","1","0","0","0","false","0","0",
"21",,"did:plc:suuuy23m5rybanhkwj6vkvtj","hjalloul.bsky.social","2025-01-15T12:55:18.945Z","2025-01-15T12:55:18.945Z","Hana Jalloul Muro","Vice-Chair: Committee on Foreign Affairs @EUparliament 🇪🇺Secretaria Política Internacional y Cooperación al Desarrollo en la CEF @psoe🌹 Doctora en RRII.","32","23","0","1","[]","0","0","0","0","false","0","0",
"22",,"did:plc:oyklvrprsopv5fydh4rcv24x","reiniervanlanschot.volteuropa.org","2024-11-24T19:06:46.346Z","2025-01-15T15:04:23.642Z","Reinier Van Lanschot","Member of European Parliament for @volteuropa.org","427","25","23","1","[]","0","0","0","0","false","0","0",
"23",,"did:plc:bngyet4gwxdl32xd2b7o3dji","annastrolenberg.volteuropa.org","2025-01-13T09:49:08.243Z","2025-01-15T15:06:41.844Z","Anna Strolenberg","Dutch MEP for @volteuropa.org\n\n🤝 Asylum and migration \n🌱 The food of the future \n💜 Progressive","251","24","6","1","[]","0","0","0","0","false","0","0",
"24",,"did:plc:ghkzfuzocm533ayg5s5xbrjg","andriuskubilius.ec.europa.eu","2025-01-09T12:57:38.143Z","2025-01-14T09:08:49.950Z","Andrius Kubilius","🇪🇺 Commissioner for Defence and Space, former Member of the European Parliament, former Prime Minister of Lithuania 🇱🇹","2085","69","28","1","[]","1","0","0","0","false","0","0",
"25",,"did:plc:tbut5qdjtsfzg4evrftqm6cz","nikolasfarantouris.bsky.social","2025-01-07T12:25:32.741Z","2025-01-07T13:56:33.246Z","Νικόλας Φαραντούρης / Nikolas Farantouris","Ευρωβουλευτής ΣΥΡΙΖΑ-ΠΣ 🇬🇷🇪🇺 | Καθηγητής Ευρωπαϊκού Δικαίου & Δικαίου Ενέργειας, Παν. Πειραιώς📚 | Ευρωπαϊκή Έδρα Jean Monnet","54","2","4","1","[]","1","0","0","0","false","0","0",
"26",,"did:plc:so4azgbtguaeop44d5ahl2o6","matthieuvalet.bsky.social","2025-01-20T13:25:32.944Z","2025-01-20T13:35:44.645Z","Matthieu Valet","Député européen 🇫🇷 du groupe patriotes pour l’🇪🇺 • Porte-parole du @rnationalofficiel.bsky.social","64","9","1","1","[]","1","0","0","0","false","0","0",
"27",,"did:plc:uvh3yphnrnsskilhbqsyzvm3","muriellelaurent.bsky.social","2025-01-21T17:25:43.245Z","2025-01-21T17:27:28.942Z","Murielle Laurent","Députée européenne 🇪🇺\nMembre du Parti Socialiste 🌹","5","1","1","1","[]","1","0","0","0","false","0","0",
